COMBO SKU,COMBO NAME,ITEM QTY,ITEM SKU,ITEM DESCRIPTION
301STKCOM00,Filet Mignon Combo,4,101STKFLM05,Certified Hereford USDA Choice Filet Mignon - 5 oz
308STKCOM12,Four Pack of Certified Hereford USDA Choice Ribeye Steaks - 12 oz,4,121STKRBE12,Certified Hereford USDA Choice Ribeye Steak - 12 oz
307STKCOM12,4-Pack USDA Choice Ribeye Steaks - 12 oz,4,721STKRBE12,USDA Choice Ribeye Steaks - 12 oz
302STKCOM08,Taster Steak Pack,2,101STKFLM05,Certified Hereford USDA Choice Filet Mignon - 5 oz
,,2,111STKNYS08,Certified Hereford USDA Choice NY Strip - 8 oz
,,2,131STKTPS08,Certified Hereford USDA Choice Top Sirloin - 8 oz
302STKCOM12,Taster Steak Pack - Grande,2,101STKFLM05,Certified Hereford USDA Choice Filet Mignon - 5 oz
,,2,111STKNYS12,Certified Hereford USDA Choice NY Strip - 12 oz
,,2,131STKTPS12,Certified Hereford USDA Choice Top Sirloin - 12 oz
303STKCOM08,Meat Lovers Combo,2,101STKFLM05,Certified Hereford USDA Choice Filet Mignon - 5 oz
,,4,111STKNYS08,Certified Hereford USDA Choice NY Strip - 8 oz
,,4,121STKRBE08,Certified Hereford USDA Choice Ribeye Steaks - 8 oz
,,2,131STKTPS08,Certified Hereford USDA Choice Top Sirloin - 8 oz
303STKCOM12,Meat Lovers Combo - Grande,2,101STKFLM05,Certified Hereford USDA Choice Filet Mignon - 5 oz
,,4,111STKNYS12,Certified Hereford USDA Choice NY Strip - 12 oz
,,4,121STKRBE12,Certified Hereford USDA Choice Ribeye Steaks - 12 oz
,,2,131STKTPS12,Certified Hereford USDA Choice Top Sirloin - 12 oz
304STKCOM08,Super Sampler,4,101STKFLM05,Certified Hereford USDA Choice Filet Mignon - 5 oz
,,4,111STKNYS08,Certified Hereford USDA Choice NY Strip - 8 oz
,,6,121STKRBE08,Certified Hereford USDA Choice Ribeye Steaks - 8 oz
,,6,131STKTPS08,Certified Hereford USDA Choice Top Sirloin - 8 oz
304STKCOM12,Super Sampler - Grande,4,101STKFLM05,Certified Hereford USDA Choice Filet Mignon - 5 oz
,,4,111STKNYS12,Certified Hereford USDA Choice NY Strip - 12 oz
,,6,121STKRBE12,Certified Hereford USDA Choice Ribeye Steaks - 12 oz
,,6,131STKTPS12,Certified Hereford USDA Choice Top Sirloin - 12 oz
305STKCOM00,Baseball Cut Top Sirloin Filet Home Run Combo ,4,132STKTPS08,CHB USDA Choice Baseball Cut Top Sirloin Filet - 8 oz
306STKCOM12,Texas Steak Party Pack,2,150STKTBO20,Certified Hereford USDA Choice T-Bone Steak - 20 oz
,,2,111STKNYS12,Certified Hereford USDA Choice NY Strip - 12 oz
,,2,131STKTPS12,Certified Hereford USDA Choice Top Sirloin - 12 oz
,,1,161WBKSHP10,Wagyu Beef Kobe Style Hamburger Patties - Three 5.3 oz Patties
301STKCOM01,USDA Prime Filet Mignon Combo,4,102STKFLM05,USDA PRIME Center Cut Filet Mignon - 5 oz
300STKCOM12,Father's Choice Steak Pack,2,721STKRBE12,USDA Choice Ribeye Steaks - 12 oz
,,2,750STKTBO12,USDA Choice T-Bone Steak - 12 oz
310STKCOM12,Lone Star Choice Steak Pack - FREE SHIPPING,2,721STKRBE12,USDA Choice Ribeye Steaks - 12 oz
,,2,711STKNYS12,USDA Choice NY Strip - 12 oz
,,2,731STKTOP08,USDA Choice Beef Top Sirloin Center Cut Steaks - 8 oz
